customer_id,first_name,last_name,city,phone_number,occupation,dob,customer_age
C00001,Timothy,Nelson,Davidville,1592081539,Magician,1915-09-03,110
C00002,Courtney,Farley,Port Charlesberg,9356145501,Scientist,1922-05-11,103
C00003,Sheena,Solis,New John,4311466522,Businessman,1933-10-27,92
C00004,Amy,Martinez,Joneston,6112876134,Mechanic,1981-07-29,44
C00005,Emily,Olson,South Christine,8756770692,Repairman,1999-03-01,26
C00006,Benjamin,Johnson,West Evanmouth,1402377116,Businessman,1942-04-21,83
C00007,Craig,Elliott,Sanchezshire,6202263306,Construction worker,1963-04-27,62
C00008,Rebecca,Keller,South Christian,1063299332,Carpenter,1961-12-15,63
C00009,Brianna,Holt,Caseytown,9923202932,Priest,1951-12-23,73
C00010,Jeremy,Le,Lake Justinmouth,5032107777,Paramedic,1961-12-31,63
C00011,Shannon,Rose,Youngview,5611248497,Professor,1923-04-16,102
C00012,Matthew,Guerrero,West Kristen,142570667,Train conductor,1976-09-12,49
C00013,Michael,Clark,East Maxwell,582686100,Architect,1960-11-07,64
C00014,Bobby,Jones,Manningfort,6257977143,Construction worker,1926-08-02,99
C00015,Wayne,Daugherty,North Morgan,1742353832,Police officer,1961-07-01,64
C00016,Sharon,Gutierrez,South Joanneland,3990712774,Repairman,1994-05-10,31
C00017,Jennifer,Vasquez,South Erin,5394311250,Painter,1983-06-02,42
C00018,Howard,Lopez,East Renee,7738800649,Photographer,1939-04-01,86
C00019,David,Olsen,Fordport,9096111363,Housewife,1943-12-29,81
C00020,Colin,Andrews,Nguyenborough,513207155,Paramedic,1935-07-19,90
C00021,Michael,Barnett,Davisport,2663819972,Pilot,1985-04-14,40
C00022,Bonnie,Reynolds,Espinozahaven,3118043227,Soldier,2003-06-25,22
C00023,Holly,Moon,Kevinview,8972492544,Geisha,1964-12-14,60
C00024,Bobby,Woods,Austinville,7328375552,Cameraman,1996-06-23,29
C00025,Terri,Rogers,West Susan,993141816,Professor,1941-10-22,84
